team_abbreviation_home,team_abbreviation_away,lambda_h,lambda_a,win_prob,projected_spread
POR,CHA,113.61,107.16,0.668,-6.5
POR,WAS,113.6,107.16,0.6678,-6.4
POR,NOP,113.17,109.14,0.6067,-4.0
POR,CHI,113.03,113.42,0.4897,0.4
POR,MEM,112.05,110.7,0.5359,-1.3
POR,MIA,110.97,112.53,0.4583,1.6
POR,ORL,107.46,107.66,0.4944,0.2
POR,MIL,111.88,112.71,0.4781,0.8
POR,LAL,106.67,109.5,0.4239,2.8
POR,DET,111.16,110.67,0.5132,-0.5
POR,LAC,106.89,111.39,0.3802,4.5
POR,HOU,106.58,111.33,0.3737,4.8
POR,CLE,106.58,112.92,0.3342,6.3
POR,GSW,106.3,106.16,0.504,-0.1
POR,BOS,105.44,108.24,0.424,2.8
POR,DEN,108.8,109.5,0.4811,0.7
POR,MIN,106.5,109.5,0.4192,3.0
POR,NYK,107.81,109.5,0.4543,1.7
POR,OKC,106.48,111.34,0.371,4.9
POR,IND,108.92,112.21,0.4123,3.3
SAS,UTA,111.2,110.95,0.5068,-0.3
SAS,TOR,106.29,110.46,0.3885,4.2
SAS,PHX,111.67,110.38,0.5345,-1.3
SAS,PHI,109.19,110.72,0.4589,1.5
SAS,POR,109.21,111.79,0.4311,2.6
SAS,BKN,109.19,110.55,0.4633,1.4
SAS,DAL,109.14,110.51,0.463,1.4
SAS,SAC,107.51,113.12,0.3527,5.6
SAS,ATL,110.06,114.58,0.3815,4.5
SAS,CHA,110.73,108.52,0.5594,-2.2
SAS,WAS,110.73,108.52,0.5592,-2.2
SAS,NOP,110.3,110.38,0.4981,0.1
SAS,CHI,110.16,114.58,0.3842,4.4
SAS,MEM,109.21,111.79,0.4311,2.6
SAS,MIA,108.88,113.59,0.376,4.7
SAS,ORL,105.68,108.59,0.4213,2.9
SAS,MIL,109.05,113.99,0.3703,4.9
SAS,LAL,104.82,110.46,0.3505,5.6
SAS,DET,109.07,111.53,0.4343,2.5
SAS,LAC,105.13,112.29,0.3136,7.2
SAS,HOU,104.73,112.49,0.2992,7.8
SAS,CLE,104.73,113.88,0.2679,9.2
SAS,GSW,104.51,107.18,0.4272,2.7
SAS,BOS,103.7,110.54,0.3199,6.8
SAS,DEN,106.54,110.46,0.3952,3.9
SAS,MIN,104.59,110.29,0.3487,5.7
SAS,NYK,105.93,110.46,0.3793,4.5
SAS,OKC,104.63,112.49,0.2969,7.9
SAS,IND,106.32,113.37,0.3172,7.1
BKN,UTA,109.63,110.85,0.4671,1.2
BKN,TOR,107.09,110.58,0.4063,3.5
BKN,PHX,110.09,110.28,0.4948,0.2
BKN,PHI,108.85,110.62,0.4524,1.8
BKN,POR,108.78,111.69,0.4224,2.9
BKN,SAS,109.55,110.28,0.4803,0.7
BKN,DAL,108.85,110.41,0.4578,1.6
BKN,SAC,108.43,113.02,0.3787,4.6
BKN,ATL,109.32,113.91,0.3794,4.6
BKN,CHA,109.97,108.42,0.5415,-1.5
BKN,WAS,110.01,108.42,0.5427,-1.6
BKN,NOP,109.59,110.28,0.4815,0.7
BKN,CHI,109.37,113.91,0.3806,4.5
BKN,MEM,108.78,111.69,0.4224,2.9
BKN,MIA,108.59,113.49,0.3711,4.9
BKN,ORL,105.37,108.72,0.4096,3.3
BKN,MIL,108.62,113.33,0.3761,4.7
BKN,LAL,105.54,110.58,0.3659,5.0
BKN,DET,108.78,111.43,0.4291,2.7
BKN,LAC,104.82,112.42,0.303,7.6
BKN,HOU,105.45,112.06,0.327,6.6
BKN,CLE,105.45,113.45,0.2944,8.0
BKN,GSW,104.84,107.31,0.4326,2.5
